OGF_ID,DISTRICT_NAME,REGION_NAME,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
109013656,Wawa,Northeast,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,1921,0,0
109013658,Sault Ste. Marie,Northeast,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,1937,0,0
109013657,North Bay,Northeast,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,1953,0,0
109013680,Bancroft,Southern,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,1969,0,0
109013659,Kirkland Lake,Northeast,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,1985,0,0
109013660,Sudbury,Northeast,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2001,0,0
109013661,Parry Sound,Southern,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2017,0,0
109013662,Peterborough,Southern,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2033,0,0
109013663,Thunder Bay,Northwest,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2049,0,0
109013664,Kemptville,Southern,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2065,0,0
109013665,Fort Frances,Northwest,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2081,0,0
109013666,Hearst,Northeast,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2097,0,0
109013667,Red Lake,Northwest,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2113,0,0
109013668,Dryden,Northwest,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2129,0,0
109013671,Chapleau,Northeast,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2145,0,0
109013672,Guelph,Southern,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2161,0,0
109013673,Aylmer,Southern,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2177,0,0
109013674,Pembroke,Southern,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2193,0,0
109013675,Cochrane,Northeast,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2209,0,0
109013676,Midhurst,Southern,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2019/09/10 10:40:38+00,2225,0,0
109013677,Timmins,Northeast,2019/09/10 10:40:31+00,2019/09/10 10:40:31+00,2019/09/10 10:40:31+00,2241,0,0
109013678,Sioux Lookout,Northwest,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2257,0,0
109013679,Kenora,Northwest,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2273,0,0
109013682,Nipigon,Northwest,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2019/09/10 10:40:36+00,2289,0,0
109013681,Algonquin Park,Southern,2019/09/10 10:40:43+00,2019/09/10 10:40:43+00,2019/09/10 10:40:43+00,2305,0,0
109013655,Aurora,Southern,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2019/09/10 10:40:37+00,2321,0,0
