,OGF_ID,FIRE_START_DATE,FIRE_GENERAL_CAUSE_CODE,FIRE_FINAL_SIZE,FIRE_YEAR,LONGITUDE,LATITUDE
0,46000273,2001/06/09 00:00:00+00,LTG,100,2001,-87.21253541146822,52.845742198706475
1,46000274,2001/06/09 00:00:00+00,LTG,56,2001,-88.44454822876968,52.805344713795776
2,46000278,2001/06/08 00:00:00+00,LTG,200,2001,-87.51087576914303,52.5249766466786
3,46000280,2001/06/09 00:00:00+00,LTG,225,2001,-87.41793917995373,52.30278372357362
4,46000282,2001/06/09 00:00:00+00,LTG,625,2001,-81.81323752405594,51.872693241317684
5,46000283,2001/06/09 00:00:00+00,LTG,103,2001,-87.81831775432035,51.56118364105889
6,46000285,2001/09/16 00:00:00+00,MIS,300,2001,-93.83044574773798,51.19826971052369
7,46000287,2001/06/09 00:00:00+00,LTG,85,2001,-86.99296800553968,50.911827156836864
8,46000290,2001/04/29 00:00:00+00,UNK,40,2001,-94.50886656834456,48.7732361026333
9,46000291,2001/09/28 00:00:00+00,MIS,400,2001,-91.50836617002565,48.1333283610419
10,46000292,2001/04/29 00:00:00+00,RES,45,2001,-80.1518967161689,47.86706895082858
11,46000293,2001/04/25 00:00:00+00,MIS,200,2001,-77.34288896272135,45.91956240982943
12,46000295,2001/08/04 00:00:00+00,MIS,70,2001,-79.15426657743826,43.86305471763227
13,46000297,2001/04/26 00:00:00+00,MIS,101,2001,-83.08559977100126,42.27312083029319
14,46002049,2002/07/08 00:00:00+00,LTG,100,2002,-90.12350099526759,55.7919587781443
15,46002048,2002/07/08 00:00:00+00,LTG,600,2002,-89.77592473023692,55.65485536790875
16,46002057,2002/06/27 00:00:00+00,LTG,400,2002,-89.78941077687267,54.386816572589
17,46002058,2002/07/15 00:00:00+00,LTG,200,2002,-91.4516963795025,54.356439455741935
18,46002059,2002/07/15 00:00:00+00,LTG,100,2002,-90.18338476524848,54.327021228765496
19,46002052,2002/07/16 00:00:00+00,LTG,3100,2002,-92.58195376402095,54.25811409301481
20,46002053,2002/06/25 00:00:00+00,LTG,2600,2002,-91.33635486615653,54.222267443999634
21,46002056,2002/06/27 00:00:00+00,LTG,400,2002,-89.48435635612846,54.168940476125606
22,46002060,2002/07/15 00:00:00+00,LTG,150,2002,-89.89367975566772,54.15154452418247
23,46002038,2002/06/30 00:00:00+00,LTG,27500,2002,-91.44594297886738,53.99897845300466
24,46000115,2000/08/05 00:00:00+00,LTG,550,2000,-89.43829942653005,56.116414530799474
25,46000114,2000/08/02 00:00:00+00,LTG,500,2000,-88.82054337548502,55.13013761460919
26,46000134,2000/07/30 00:00:00+00,LTG,50,2000,-91.5383248677191,53.55251693144651
27,46000127,2000/07/31 00:00:00+00,LTG,120,2000,-87.58502463889529,53.42496707704258
28,46000124,2000/07/23 00:00:00+00,LTG,750,2000,-86.05043291151817,53.239926504300726
29,46000125,2000/07/30 00:00:00+00,LTG,120,2000,-88.59892763386432,52.89497723888589
30,46000136,2000/07/31 00:00:00+00,LTG,78,2000,-90.18707196266193,52.82902867964114
31,46000113,2000/06/16 00:00:00+00,LTG,425,2000,-83.12159634795691,52.71609313960941
32,46000131,2000/07/23 00:00:00+00,LTG,221,2000,-93.9972840579088,52.290689107489506
33,46000126,2000/07/31 00:00:00+00,LTG,80,2000,-86.72397645819463,52.5835850326326
34,46000137,2000/05/29 00:00:00+00,LTG,125,2000,-89.25444423107443,52.48599570130071
35,46000135,2000/07/30 00:00:00+00,LTG,100,2000,-89.81584230830197,52.41135091228322
36,46000129,2000/10/19 00:00:00+00,IDF,85,2000,-88.00942745940388,50.83712562032187
37,46000116,2000/05/03 00:00:00+00,RWY,63,2000,-93.66366117797799,49.82844663555162
38,46000121,2000/10/12 00:00:00+00,IDF,40,2000,-85.06643806451378,49.980485012119644
39,46000128,2000/10/19 00:00:00+00,IDF,100,2000,-87.32481028870372,49.400466959392595
40,46000119,2000/04/27 00:00:00+00,INC,300,2000,-94.59694540349687,48.82220008470909
41,46000118,2000/10/12 00:00:00+00,MIS,1200,2000,-91.28778840669551,48.093026865303436
42,46000130,2000/04/25 00:00:00+00,MIS,45,2000,-77.3395050001328,45.90104571789823
43,46000122,2000/04/30 00:00:00+00,MIS,70,2000,-76.61976946798663,45.085376830907094
44,46000252,2001/06/09 00:00:00+00,LTG,700,2001,-87.07158788837982,55.65505174938882
45,46000256,2001/07/19 00:00:00+00,LTG,150,2001,-91.25394726866533,54.305114161124514
46,46000258,2001/07/20 00:00:00+00,LTG,80,2001,-91.33679224453738,54.20598018745571
47,46000260,2001/07/15 00:00:00+00,LTG,272,2001,-91.35657450252525,53.998284485350915
48,46000265,2001/06/08 00:00:00+00,LTG,60,2001,-87.87216769084425,53.52225931863236
49,46000268,2001/07/20 00:00:00+00,LTG,2250,2001,-87.92429940313015,53.39067365038896
50,46000269,2001/07/20 00:00:00+00,LTG,65,2001,-92.92237888466035,53.269906448059714
51,46000276,2001/06/09 00:00:00+00,LTG,100,2001,-89.56722131290643,52.64285957423209
52,46000277,2001/07/19 00:00:00+00,LTG,50,2001,-91.97457636274449,52.60661066877639
53,46000279,2001/07/18 00:00:00+00,LTG,90,2001,-94.92089904043551,52.34557871043599
54,46000281,2001/05/15 00:00:00+00,REC,551,2001,-81.91558573673701,52.11916219555613
55,46000284,2001/06/09 00:00:00+00,LTG,300,2001,-86.88389717707138,51.206556285779286
56,46000286,2001/06/09 00:00:00+00,LTG,114,2001,-87.32387469395093,51.14615986702506
57,46000288,2001/06/09 00:00:00+00,LTG,220,2001,-81.14482549092799,50.13469261523495
58,46000289,2001/07/23 00:00:00+00,LTG,70,2001,-87.1754037047125,50.06350504812526
59,46000294,2001/07/27 00:00:00+00,UNK,146,2001,-76.88059312618908,44.814907080258074
60,46000296,2001/05/01 00:00:00+00,MIS,87,2001,-81.78862539119825,43.279985969200965
61,46002051,2002/07/12 00:00:00+00,LTG,80,2002,-87.58856088416451,55.685352236736556
