,Unnamed: 0,OGF_ID,FIRE_TYPE_CODE,FIRE_START_DATE,FIRE_GENERAL_CAUSE_CODE,FIRE_FINAL_SIZE,LONGITUDE,LATITUDE,WEATHER_STATION_PATH,TEMPERATURE,PRECIPITATION
0,0,46000273,IFR,2001/06/09 00:00:00+00,LTG,100,-87.21253541146822,52.845742198706475,LANSDOWNE HOUSE (AUT)_10244.csv,"26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.855,23.9,24.9,27.9","0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1,1,46000274,IFR,2001/06/09 00:00:00+00,LTG,56,-88.44454822876969,52.80534471379578,LANSDOWNE HOUSE (AUT)_10244.csv,"26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.855,23.9,24.9,27.9","0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2,2,46000278,IFR,2001/06/08 00:00:00+00,LTG,200,-87.51087576914303,52.5249766466786,LANSDOWNE HOUSE (AUT)_10244.csv,"23.2,26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.62,23.9,24.9","0.4,0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
3,3,46000280,IFR,2001/06/09 00:00:00+00,LTG,225,-87.41793917995373,52.30278372357362,LANSDOWNE HOUSE (AUT)_10244.csv,"26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.855,23.9,24.9,27.9","0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
4,4,46000282,IFR,2001/06/09 00:00:00+00,LTG,625,-81.81323752405594,51.872693241317684,MOOSONEE UA_4168.csv,"21.0,27.0,31.0,26.5,22.0,23.5,27.0,25.0,22.5,8.0,6.0,11.0,21.5,23.5,9.0,8.0,14.5,17.0,18.0,12.0,22.0","0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.2,3.2,8.2,1.0,0.0,0.0,0.0,0.6,0.6,0.0,2.2,0.0,0.0,0.0"
5,5,46000283,IFR,2001/06/09 00:00:00+00,LTG,103,-87.81831775432033,51.561183641058896,LANSDOWNE HOUSE (AUT)_10244.csv,"26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.855,23.9,24.9,27.9","0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
6,6,46000285,PB,2001/09/16 00:00:00+00,MIS,300,-93.83044574773798,51.19826971052369,RAWSON LAKE_3966.csv,"26.5,24.5,25.0,27.5,18.0,18.5,20.5,27.5,21.5,26.5,28.5,28.0,13.5,13.5,18.0,17.5,15.5,15.0,14.5,16.0,18.0","0.0,0.0,0.0,0.0,0.4,0.0,1.7,0.0,0.0,0.0,0.0,29.3,25.9,1.8,1.0,1.0,0.4,2.4,0.0,0.0,0.0"
7,7,46000287,IFR,2001/06/09 00:00:00+00,LTG,85,-86.99296800553968,50.911827156836864,LANSDOWNE HOUSE (AUT)_10244.csv,"26.6,28.0,24.6,19.3,15.4,20.0,23.7,25.3,20.4,13.2,14.7,18.9,25.2,20.3,13.3,14.2,17.3,20.855,23.9,24.9,27.9","0.8,0.2,3.4,8.6,14.4,0.2,5.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
8,8,46000290,IFR,2001/04/29 00:00:00+00,UNK,40,-94.50886656834456,48.7732361026333,BARWICK_3932.csv,"5.0,4.5,5.5,5.0,6.0,9.0,13.0,-1.0,3.0,6.0,13.0,20.0,9.5,5.0,2.0,8.5,14.5,21.5,16.5,16.0,22.5","1.4,0.2,0.0,27.6,3.8,6.6,0.0,5.8,0.2,0.0,0.0,0.2,13.4,0.0,4.0,2.6,0.0,0.0,0.0,0.0,0.0"
9,9,46000291,PB,2001/09/28 00:00:00+00,MIS,400,-91.50836617002564,48.1333283610419,ATIKOKAN (AUT)_10220.csv,"21.2,13.8,15.7,16.8,19.4,14.6,14.1,15.5,17.3,14.2,18.4,16.1,19.3,19.4,17.7,16.4,9.3,11.7,16.5,20.0,16.8","22.2,1.0,0.0,0.4,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.6,0.0,0.0,0.0,0.0,0.0"
10,10,46000292,IFR,2001/04/29 00:00:00+00,RES,45,-80.1518967161689,47.86706895082858,KIRKLAND LAKE CS_27535.csv,"6.7,1.4,5.7,13.2,9.8,3.6,3.8,7.2,5.7,1.9,4.2,11.6,15.6,11.4,6.2,16.9,7.9,13.4,10.0,7.1,10.7","1.4,0.0,0.0,12.6,8.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.4,10.6,0.4,0.0,4.4,0.0,0.0"
11,11,46000293,IFR,2001/04/25 00:00:00+00,MIS,200,-77.34288896272135,45.919562409829425,PETAWAWA A_4352.csv,"11.4,12.9,7.4,5.1,14.9,8.6,12.3,14.8,11.1,9.6,12.0,12.8,11.9,6.2,5.2,11.4,18.4,15.9,16.9,28.1,23.3","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.5,0.0,2.5,1.0"
12,12,46000295,OFR,2001/08/04 00:00:00+00,MIS,70,-79.15426657743826,43.863054717632274,UDORA_4525.csv,"24.0,26.0,25.5,24.5,25.5,28.5,30.0,29.5,29.0,33.0,31.0,24.0,22.0,23.0,24.0,27.0,26.5,28.0,32.0,30.0,30.0","0.0,0.0,5.8,0.2,0.0,0.0,0.0,16.0,2.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
13,13,46000297,PB,2001/04/26 00:00:00+00,MIS,101,-83.08559977100126,42.27312083029319,AMHERSTBURG_4607.csv,"16.5,22.0,19.0,26.0,11.0,10.5,19.5,22.0,18.0,18.0,12.0,10.0,7.5,12.0,14.0,15.0,22.0,21.5,24.5,14.0,13.0","13.4,2.4,0.8,0.0,7.8,1.6,3.0,0.0,0.0,0.0,22.8,1.8,0.0,0.0,3.8,4.2,13.8,3.0,0.6,0.0,0.0"
14,14,46002049,OFR,2002/07/08 00:00:00+00,LTG,100,-90.1235009952676,55.79195877814429,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
15,15,46002048,OFR,2002/07/08 00:00:00+00,LTG,600,-89.77592473023694,55.65485536790875,LANSDOWNE HOUSE (AUT)_10244.csv,"19.8,27.1,23.1,18.8,25.3,27.9,22.2,26.5,17.4,23.0,25.4,28.2,32.0,36.2,29.1,26.0,23.2,20.5,25.2,26.6,28.6","0.0,0.0,4.4,3.2,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,3.0,0.2,2.2,4.6,0.2,0.0,22.8,0.0"
16,16,46002057,OFR,2002/06/27 00:00:00+00,LTG,400,-89.78941077687267,54.386816572589,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
17,17,46002058,OFR,2002/07/15 00:00:00+00,LTG,200,-91.45169637950251,54.35643945574194,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
18,18,46002059,OFR,2002/07/15 00:00:00+00,LTG,100,-90.18338476524849,54.327021228765496,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
19,19,46002052,OFR,2002/07/16 00:00:00+00,LTG,3100,-92.58195376402095,54.25811409301481,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
20,20,46002053,OFR,2002/06/25 00:00:00+00,LTG,2600,-91.33635486615653,54.222267443999634,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
21,21,46002056,OFR,2002/06/27 00:00:00+00,LTG,400,-89.48435635612844,54.16894047612561,LANSDOWNE HOUSE (AUT)_10244.csv,"21.5,16.9,14.9,15.8,14.2,20.1,23.4,25.4,21.5,15.9,17.3,19.8,27.1,23.1,18.8,25.3,27.9,22.2,26.5,17.4,23.0","0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.8,0.8,0.0,0.0,4.4,3.2,0.0,0.0,0.0,0.0,4.0,22.0"
22,22,46002060,OFR,2002/07/15 00:00:00+00,LTG,150,-89.89367975566772,54.15154452418247,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
23,23,46002038,IFR,2002/06/30 00:00:00+00,LTG,27500,-91.44594297886738,53.99897845300465,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
24,24,46000115,OFR,2000/08/05 00:00:00+00,LTG,550,-89.43829942653005,56.11641453079947,LANSDOWNE HOUSE (AUT)_10244.csv,"27.5,26.2,15.8,16.5,22.985,10.2,14.7,21.9,25.1,24.9,24.9,25.9,25.2,25.6,28.3,32.1,28.3,22.1,18.5,20.3,25.7","0.0,4.4,4.8,0.2,0.0,3.6,0.2,0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0"
25,25,46000114,OFR,2000/08/02 00:00:00+00,LTG,500,-88.82054337548502,55.13013761460918,LANSDOWNE HOUSE (AUT)_10244.csv,"22.0,23.3,21.0,27.5,26.2,15.8,16.5,23.075,10.2,14.7,21.9,25.1,24.9,24.9,25.9,25.2,25.6,28.3,32.1,28.3,22.1","6.0,2.2,0.0,0.0,4.4,4.8,0.2,0.0,3.6,0.2,0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0"
26,26,46000134,IFR,2000/07/30 00:00:00+00,LTG,50,-91.5383248677191,53.552516931446505,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
27,27,46000127,IFR,2000/07/31 00:00:00+00,LTG,120,-87.5850246388953,53.42496707704258,LANSDOWNE HOUSE (AUT)_10244.csv,"21.3,24.7,22.0,23.3,21.0,27.5,26.2,15.8,16.5,22.855,10.2,14.7,21.9,25.1,24.9,24.9,25.9,25.2,25.6,28.3,32.1","0.0,0.0,6.0,2.2,0.0,0.0,4.4,4.8,0.2,0.0,3.6,0.2,0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0,0.2"
28,28,46000124,IFR,2000/07/23 00:00:00+00,LTG,750,-86.05043291151817,53.239926504300726,PEAWANUCK (AUT)_10197.csv,"7.9,10.5,6.8,11.3,17.5,23.1,17.6,17.4,17.6,25.3,29.3,24.6,21.8,28.5,28.5,16.2,11.9,7.7,9.7,16.7,25.2","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
29,29,46000125,IFR,2000/07/30 00:00:00+00,LTG,120,-88.5989276338643,52.894977238885886,LANSDOWNE HOUSE (AUT)_10244.csv,"17.7,21.3,24.7,22.0,23.3,21.0,27.5,26.2,15.8,16.5,22.134999999999998,10.2,14.7,21.9,25.1,24.9,24.9,25.9,25.2,25.6,28.3","9.6,0.0,0.0,6.0,2.2,0.0,0.0,4.4,4.8,0.2,0.0,3.6,0.2,0.2,2.2,1.2,0.0,0.0,0.0,0.0,0.0"
30,30,46000136,IFR,2000/07/31 00:00:00+00,LTG,78,-90.18707196266192,52.82902867964114,PICKLE LAKE (AUT)_3920.csv,INVALID,INVALID
31,31,46000113,IFR,2000/06/16 00:00:00+00,LTG,425,-83.12159634795691,52.716093139609406,NAGAGAMI (AUT)_7633.csv,"12.0,14.6,15.4,22.7,15.1,18.5,14.4,15.9,13.1,14.6,15.275,11.8,12.3,12.4,14.6,5.9,9.6,17.9,25.8,21.8,17.1","0.4,0.0,0.0,0.0,15.6,57.2,65.0,14.6,3.4,0.0,0.0,0.0,76.2,19.0,12.2,26.6,0.0,0.0,0.0,14.67,3.2"
32,32,46000131,IFR,2000/07/23 00:00:00+00,LTG,221,-93.9972840579088,52.29068910748951,RAWSON LAKE_3966.csv,"19.5,25.0,27.0,23.5,21.0,19.0,25.0,27.0,22.0,22.0,25.5,27.5,25.5,27.5,24.5,15.0,20.5,17.5,19.5,22.0,25.0","0.0,0.0,4.8,0.0,3.4,21.7,0.0,0.0,0.0,8.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0"
