,Unnamed: 0,TEMPERATURE,PRECIPITATION
124726,1197,"-7.0,6.0,3.0,-9.0,-11.0,-12.5,-18.5,-6.5,-4.5,-17.0,-19.0,-14.5,-6.0,-3.5,-13.5,-13.0,-15.0,-4.0,-1.0,-3.0,-2.0","0.0,0.0,34.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0"
26806,723,"-3.0,3.0,3.6,3.1,5.7,3.0,1.9,0.2,0.9,-0.6,-1.4,0.3,1.6,2.2,3.3,1.8,4.0,3.8,4.2,6.1,6.4","1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158,1.536842105263158"
162392,6011,"26.5,26.0,30.0,25.5,27.0,24.0,22.0,19.5,15.5,17.0,22.0,23.0,24.0,22.5,23.0,28.0,21.0,16.0,25.5,28.0,30.5","0.0,0.0,0.0,0.6,0.2,0.0,32.8,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,2.6,0.0,0.0,0.0"
139871,2488,"20.5,21.5,20.0,20.5,19.5,16.0,16.0,22.0,25.0,26.0,26.0,25.0,25.0,14.5,11.5,12.0,11.5,15.0,13.0,12.0,16.0","0.0,34.4,25.4,0.0,5.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,11.8,55.6,0.0,5.0,0.6,0.4,7.6,0.0,0.0"
10046,2494,"3.2,12.6,8.0,1.5,1.9,0.6,-1.6,0.1,0.2,1.7,0.3,-5.2,-0.5,-1.6,-7.3,-5.2,-3.4,-4.9,1.2,1.5,-0.1","1.8,0.8,0.0,0.0,0.0,0.8,1.8,12.0,3.7,1.9,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.7,4.0"
81070,3268,"0.7,0.7,1.3,0.1,1.0,1.2,0.2,-1.2,-0.3,-2.9,-3.9,-5.2,-11.7,-12.4,-7.0,-9.1,-15.8,-12.3,-8.1,-5.2,-11.5","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.3,0.9,0.2,0.0,1.8,0.4,0.2,0.9,3.4,0.9"
104461,3196,"-7.5,-8.0,-10.5,-6.0,-0.5,0.0,-16.5,-14.5,-15.0,-9.0,-5.5,-7.5,-10.0,-3.0,-1.0,3.0,-11.0,-11.0,-7.5,-7.0,-6.0","2.0,0.6,0.0,0.0,0.0,3.0,2.0,0.0,0.0,9.0,19.0,0.4,0.0,0.0,0.0,2.2,0.0,7.2,6.4,2.0,13.4"
163917,1097,"0.4,-1.6,-11.4,-9.4,-8.9,-8.0,-10.8,-15.0,-10.5,-6.7,-16.7,-21.3,-26.9,-23.3,-22.2,-22.5,-21.8,-14.5,-9.9,-9.0,-9.0","0.0,7.8,0.0,1.0,1.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
149988,9,"14.5,17.0,18.0,14.5,21.0,23.0,26.5,23.0,22.5,23.0,20.5,25.0,24.0,22.0,25.0,28.0,30.0,30.5,29.0,25.0,28.0","0.0,0.0,1.0,3.0,2.9,0.0,0.0,0.2,53.6,14.9,26.2,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3"
144391,7008,"17.5,15.68421052631579,15.68421052631579,10.5,17.0,23.5,12.0,13.0,13.5,18.5,27.5,27.5,24.5,12.5,10.5,13.5,13.0,10.0,10.5,7.0,16.0","0.0,3.0044692737430165,3.0044692737430165,5.2,7.6,0.4,0.0,3.2,0.0,0.0,0.0,6.2,0.0,4.2,0.0,0.6,1.8,0.6,0.0,0.0,3.0"
